,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
5634,568,18,Martin Stranzl,Centre-Back,2015,1000000.0,16-Jun-80,35.0,,,
5635,4607,18,Roel Brouwers,Centre-Back,2015,500000.0,28-Nov-81,33.0,"1,92",right,Stefan Ristea 
5640,111455,18,Granit Xhaka,Central Midfield,2015,35000000.0,27-Sep-92,22.0,"1,86",left,Signature - ISCM AG 
5660,132529,533,Jin-su Kim,Left-Back,2015,2000000.0,13-Jun-92,23.0,"1,77",left,IZ 
5670,184133,533,Russell Canouse,Central Midfield,2015,75000.0,11-Jun-95,20.0,"1,77",right,AKA Global GmbH 
5672,63833,533,Jiloan Hamad,Attacking Midfield,2015,750000.0,6-Nov-90,24.0,"1,73",right,CLS Mundial 
5675,6791,533,Kai Herdling,Left Winger,2015,400000.0,27-Jun-84,31.0,"1,80",right,no agent 
5680,37287,533,Tarik Elyounoussi,Centre-Forward,2015,2000000.0,23-Feb-88,27.0,"1,72",right,CLS Mundial 
5683,1331,533,Kevin Kuranyi,Centre-Forward,2015,1250000.0,2-Mar-82,33.0,,,
5685,24001,39,Gianluca Curci,Goalkeeper,2015,700000.0,12-Jul-85,29.0,,,Icon Football ... 
5688,196842,39,Daniel Zeaiter,Goalkeeper,2015,100000.0,30-Mar-95,20.0,"1,89",both,
5691,40429,39,Gonzalo Jara,Centre-Back,2015,1000000.0,29-Aug-85,29.0,"1,78",right,Jason N. Pappe 
5693,48931,39,Henrique Sereno,Centre-Back,2015,750000.0,18-May-85,30.0,"1,87",right,GLOBALL SPORTS GmbH 
5702,15045,39,Niki Zimling,Defensive Midfield,2015,800000.0,19-Apr-85,30.0,"1,78",right,
5705,55519,39,Christoph Moritz,Central Midfield,2015,1500000.0,27-Jan-90,25.0,"1,86",right,NOACK SPORTS GmbH 
5707,40937,39,Elkin Soto,Central Midfield,2015,250000.0,4-Aug-80,34.0,"1,79",left,BISC Sports ... 
5712,159522,39,Patrick Pflücke,Left Winger,2015,300000.0,30-Nov-96,18.0,"1,70",left,Libera Sports 
5713,87650,39,Julian-Maurice Derstroff,Left Winger,2015,250000.0,5-Jan-92,23.0,"1,82",left,Soccer and more 
