club_id,player_id,games_played,total_games
631,96341,26,29
631,96341,36,36
631,96341,36,37
631,331726,2,2
631,331726,31,33
631,331726,31,33
631,331726,34,34
631,331726,22,30
631,331726,37,38
631,331726,34,34
631,331726,22,30
631,331726,37,38
631,331726,37,38
631,170527,35,38
631,170527,21,28
631,170527,35,38
631,170527,21,28
631,170527,33,33
631,170527,31,32
631,170527,32,33
631,170527,30,30
631,170527,34,34
985,164770,22,24
985,164770,22,24
985,164770,26,31
985,164770,23,26
985,164770,27,30
985,164770,32,33
985,164770,32,36
985,164770,31,33
985,177907,29,34
985,177907,38,38
985,177907,31,32
985,177907,38,38
985,177907,34,34
985,177907,30,33
985,177907,38,38
985,177907,34,34
985,177907,30,33
985,184573,17,26
985,184573,30,32
985,184573,35,35
985,184573,29,34
985,184573,28,33
985,184573,35,35
985,184573,29,34
985,286384,25,27
985,286384,13,18
985,286384,12,21
985,286384,4,14
985,286384,12,26
985,286384,4,21
985,286384,4,14
985,286384,12,26
985,286384,25,30
985,117996,10,13
985,117996,18,19
985,117996,23,26
985,117996,18,22
985,117996,2,12
985,117996,4,24
985,117996,2,12
985,183288,5,5
985,183288,11,15
985,183288,11,21
985,183288,29,30
985,183288,24,24
985,183288,32,34
985,183288,20,22
985,183288,24,24
985,183288,32,34
985,255755,12,34
985,255755,21,29
985,255755,12,34
985,507700,17,29
985,507700,4,20
985,507700,26,33
985,507700,26,33
985,507700,17,29
985,507700,4,20
985,507700,26,33
985,811778,,4
985,477758,,3
985,477758,35,35
985,477758,35,36
985,477758,34,37
985,477758,20,30
985,477758,35,35
985,477758,35,36
985,477758,34,37
985,357147,16,22
985,357147,4,8
985,357147,21,35
985,357147,24,37
985,357147,21,35
985,357147,21,35
985,315969,2,5
985,315969,13,23
985,315969,16,23
985,315969,27,29
985,315969,32,36
985,315969,30,31
985,315969,27,29
985,315969,32,36
985,505219,1,2
985,505219,1,7
985,505219,1,7
985,74683,33,37
985,74683,36,36
985,74683,28,30
985,74683,21,27
985,74683,20,37
985,74683,21,27
985,74683,20,37
985,122153,30,31
985,122153,27,27
985,122153,35,37
985,122153,16,16
985,122153,26,29
985,122153,16,16
985,122153,26,29
985,288255,19,34
985,288255,15,31
985,288255,19,34
985,288255,15,31
985,191614,17,32
985,191614,29,34
985,191614,30,35
985,191614,29,34
985,191614,30,35
985,240306,31,31
985,240306,37,37
985,240306,36,36
985,240306,31,31
985,240306,37,37
985,240306,31,36
985,240306,33,38
985,141660,25,25
985,141660,33,37
985,141660,22,26
985,141660,16,20
985,141660,16,20
985,141660,16,32
985,141660,22,26
985,141660,16,20
985,141660,16,20
985,203394,4,21
985,203394,35,35
985,203394,25,32
985,203394,13,15
985,203394,25,32
985,203394,44,50
985,203394,35,35
985,203394,23,26
985,607224,1,1
985,607224,2,7
985,607224,1,1
985,44068,38,38
985,44068,25,31
