,player_id,Current_club_ID,Name,Main_position,Season_year,Market_Value,Date_of_birth,Age,Height,Foot,Ajent
103,7451,11,Mikel Arteta,Central Midfield,2015,,"Mar 26, 1982 ",41.0,"1,77",right,
104,35664,11,Mesut Özil,Attacking Midfield,2015,,"Oct 15, 1988 ",34.0,"1,80",left,
105,326300,11,Jeff Reine-Adélaïde,Attacking Midfield,2015,7000000.0,"Jan 17, 1998 ",25.0,"1,84",right,Concept Sport Agency 
106,132,11,Tomas Rosicky,Attacking Midfield,2015,,"Oct 4, 1980 ",42.0,"1,79",both,Int. Sport ... 
107,242631,11,Alex Iwobi,Attacking Midfield,2015,25000000.0,"May 3, 1996 ",27.0,"1,83",right,Elite Project Group ... 
108,193593,11,Jon Toral,Attacking Midfield,2015,750000.0,"Feb 5, 1995 ",28.0,"1,84",left,Media Base Sports 
109,314341,11,Chris Willock,Left Winger,2015,4000000.0,"Jan 31, 1998 ",25.0,"1,78",right,
110,33713,11,Theo Walcott,Right Winger,2015,1800000.0,"Mar 16, 1989 ",34.0,"1,75",both,Wasserman 
111,131248,11,Joel Campbell,Right Winger,2015,2000000.0,"Jun 26, 1992 ",30.0,"1,78",left,B.C Football Agency 
112,159471,11,Serge Gnabry,Right Winger,2015,55000000.0,"Jul 14, 1995 ",27.0,"1,76",right,ROOF 
113,121990,11,Wellington Silva,Right Winger,2015,450000.0,"Jan 6, 1993 ",30.0,"1,70",right,Velop4 Sports Ltd. 
114,40433,11,Alexis Sánchez,Centre-Forward,2015,4500000.0,"Dec 19, 1988 ",34.0,"1,69",right,Fernando Felicevich 
115,82442,11,Olivier Giroud,Centre-Forward,2015,4000000.0,"Sep 30, 1986 ",36.0,"1,92",left,One Team Football  
116,67063,11,Danny Welbeck,Centre-Forward,2015,8000000.0,"Nov 26, 1990 ",32.0,"1,85",right,Prodigy Sports Group 
117,127194,11,Yaya Sanogo,Centre-Forward,2015,250000.0,"Jan 27, 1993 ",30.0,"1,94",right,Avid Sports Group 
118,197642,11,Chuba Akpom,Centre-Forward,2015,7000000.0,"Oct 9, 1995 ",27.0,"1,86",right,Elite Project Group ... 
119,59377,985,David de Gea,Goalkeeper,2015,15000000.0,"Nov 7, 1990 ",32.0,"1,89",right,Relatives 
120,30690,985,Sergio Romero,Goalkeeper,2015,400000.0,"Feb 22, 1987 ",36.0,"1,92",right,CAA Stellar 
121,7589,985,Víctor Valdés,Goalkeeper,2015,,"Jan 14, 1982 ",41.0,"1,83",right,no agent 
122,110864,985,Sam Johnstone,Goalkeeper,2015,4000000.0,"Mar 25, 1993 ",30.0,"1,93",right,Unique Sports Group 
123,192611,985,Joel Pereira,Goalkeeper,2015,300000.0,"Jun 28, 1996 ",26.0,"1,89",right,Footwork 
124,258919,985,Dean Henderson,Goalkeeper,2015,22000000.0,"Mar 12, 1997 ",26.0,"1,88",right,CAA Stellar 
125,103427,985,Chris Smalling,Centre-Back,2015,8000000.0,"Nov 22, 1989 ",33.0,"1,94",right,OmniSports 
126,93176,985,Marcos Rojo,Centre-Back,2015,2800000.0,"Mar 20, 1990 ",33.0,"1,86",left,CAA Stellar 
127,117996,985,Phil Jones,Centre-Back,2015,2000000.0,"Feb 21, 1992 ",31.0,"1,85",right,Wasserman 
128,167268,985,Paddy McNair,Centre-Back,2015,4500000.0,"Apr 27, 1995 ",28.0,"1,83",right,
129,314388,985,Ro-Shaun Williams,Centre-Back,2015,250000.0,"Sep 3, 1998 ",24.0,"1,84",right,
130,342046,985,Axel Tuanzebe,Centre-Back,2015,6000000.0,"Nov 14, 1997 ",25.0,"1,85",right,Relatives 
131,183288,985,Luke Shaw,Left-Back,2015,35000000.0,"Jul 12, 1995 ",27.0,"1,78",left,CAA Stellar 
